Date,Time,BO,BH,BL,BC,BCh,AO,AH,AL
2024-11-05,07:20:16,1.08773,1.08775,1.08726,1.08746,-0.00026999999999999247,1.08784,1.08786,1.08736
2024-11-05,08:19:49,1.08749,1.08757,1.08724,1.08729,-0.00019999999999997797,1.08761,1.0877,1.08736
2024-11-05,09:19:45,1.08729,1.08786,1.08726,1.08785,0.0005599999999998939,1.0874,1.08797,1.08736
2024-11-05,10:20:42,1.08782,1.08793,1.08752,1.0878,-1.999999999990898e-05,1.08794,1.08803,1.08763
2024-11-05,11:20:43,1.0878,1.08786,1.08749,1.08772,-8.000000000008001e-05,1.08791,1.08797,1.08761
2024-11-05,12:19:52,1.08769,1.08777,1.08741,1.08763,-5.999999999994898e-05,1.08779,1.08791,1.08752
2024-11-05,13:19:55,1.08765,1.08796,1.08764,1.08789,0.00024000000000001798,1.08776,1.08807,1.08775
2024-11-05,14:20:12,1.08784,1.08887,1.08768,1.08874,0.0009000000000001229,1.08797,1.08901,1.08781
2024-11-05,15:19:51,1.08874,1.089,1.08839,1.08883,8.999999999992347e-05,1.08884,1.0891,1.08853
2024-11-05,16:20:12,1.08887,1.08968,1.0887,1.08968,0.0008099999999999774,1.08897,1.08982,1.08883
2024-11-05,17:20:22,1.08947,1.08948,1.08899,1.08919,-0.00027999999999983594,1.08958,1.08961,1.08912
2024-11-05,18:20:41,1.08925,1.08974,1.08904,1.08954,0.00028999999999990145,1.08935,1.08986,1.08914
2024-11-05,19:20:37,1.08949,1.09008,1.08949,1.0896,0.00010999999999983245,1.08961,1.0902,1.08961
2024-11-05,20:20:55,1.08958,1.08973,1.08938,1.08943,-0.0001500000000000945,1.08968,1.08984,1.08949
2024-11-05,21:20:10,1.08934,1.09052,1.08902,1.09052,0.0011799999999999589,1.08945,1.09062,1.08914
2024-11-05,22:20:02,1.09052,1.091,1.08956,1.08987,-0.0006500000000000394,1.09063,1.09114,1.08969
2024-11-05,23:20:15,1.08988,1.09143,1.08987,1.09143,0.0015499999999999403,1.09002,1.09159,1.08999
2024-11-06,00:20:52,1.09141,1.09245,1.09135,1.09224,0.0008300000000001084,1.09152,1.09255,1.09146
2024-11-06,01:20:55,1.0921,1.09341,1.0921,1.09337,0.0012699999999998823,1.09221,1.09352,1.09221
2024-11-06,02:21:00,1.09331,1.09359,1.09273,1.09275,-0.0005599999999998939,1.09344,1.09372,1.09285
2024-11-06,03:20:03,1.09268,1.09335,1.09268,1.09279,0.00010999999999983245,1.09283,1.09345,1.09281
2024-11-06,04:20:32,1.09276,1.09283,1.09238,1.09249,-0.00026999999999999247,1.09287,1.09294,1.09248
2024-11-06,05:20:49,1.09247,1.09291,1.09242,1.09251,4.0000000000040004e-05,1.09259,1.09324,1.09252
2024-11-06,06:20:10,1.09252,1.09288,1.09112,1.0914,-0.0011200000000000099,1.09312,1.09323,1.0913
2024-11-06,07:20:07,1.09143,1.0936,1.08885,1.08885,-0.0025799999999998047,1.09157,1.09378,1.08902
2024-11-06,08:21:02,1.08846,1.08872,1.08241,1.08397,-0.004489999999999883,1.08867,1.08892,1.0826
2024-11-06,09:20:31,1.08428,1.0848,1.08029,1.08136,-0.0029199999999998116,1.08445,1.08496,1.08043
2024-11-06,10:20:14,1.0812,1.08168,1.07498,1.07534,-0.005859999999999976,1.08137,1.08184,1.07516
